Name of Player,Country Code,Discipline,Latitude,Longitude
SINGH Rupinder Pal,INDIA,Hockey,20.593684,78.96288
SINGH Shamsher,INDIA,Hockey,20.593684,78.96288
SINGH Shivpal,INDIA,Athletics,20.593684,78.96288
SINGH Simranjeet,INDIA,Hockey,20.593684,78.96288
SINGO Wilfried,CÔTE D'IVOIRE,Football,7.539989,-5.54708
SINIAKOVA Katerina,CZECH REPUBLIC,Tennis,49.817492,15.472962
SINKOVIC Martin,CROATIA,Rowing,45.1,15.2
SINKOVIC Valent,CROATIA,Rowing,45.1,15.2
SINTEAN Andrei,ROMANIA,Football,45.943161,24.96676
SINTSOV Anton,ROC,Cycling Mountain Bike,-22.95764,18.49041
SIRAGUSA Irene,ITALY,Athletics,41.87194,12.56738
SIRINA Jakub,CZECH REPUBLIC,Basketball,49.817492,15.472962
SIRUCEK Pavel,CZECH REPUBLIC,Table Tennis,49.817492,15.472962
SISKEVICIUS Evaldas,LITHUANIA,Cycling Road,55.169438,23.881275
SISSOKO Fode,MALI,Athletics,17.570692,-3.996166
SISSON Emily,UNITED STATES OF AMERICA,Athletics,-22.95764,18.49041
SITHISANE Soukphaxay,LAO PEOPLE'S DEMOCRATIC REPUBLIC,Judo,-22.95764,18.49041
SITKOVSKIY Oleksandr,UKRAINE,Athletics,48.379433,31.16558
